角色名称,角色ID,皮肤ID,皮肤描述,适用场景,图片备注
Roxie,nv1,yifu1,白色花边比基尼泳装，整体清爽性感，适合海岛度假基础造型,沙滩日常、泳池互动、海边初登场、白天度假场景,
,,yifu2,米金色薄纱亮片罩裙，轻透飘逸，带度假晚宴感,泳池外搭、海边晚餐、度假休闲、轻礼服场景,
,,yifu3,白色薄纱蕾丝罩衫裙，长袖设计，气质更温柔浪漫,睡衣,
,,yifu4,白色吊带上衣搭配牛仔短裤，清爽随性，偏日常海岛风,岛上日常、聊天对话、白天探索、轻松互动场景,
,,yifu5,黄白印花长裙，热带度假感强，整体温柔明亮,花园约会、海岛午后、观景点互动、轻正式度假场景,
,,yifu6,蓝色印花短衬衫搭配绿色短裤，活泼休闲，偏旅行穿搭,岛上探索、休闲活动、轻运动、白天互动场景,
,,yifu7,橙色上衣搭配粉色热带印花长裙裤，色彩张扬，度假氛围强,派对预热、热带主题活动、海边聚会、艳阳场景,
,,yifu8,黑色吊带短裙，修身利落，偏成熟夜晚风格,睡衣,
,,yifu9,红色蕾丝吊带短裙，风格更性感，强调魅力和戏剧性,睡衣,
,,yifu10,银白/香槟色亮片短礼裙，整体闪耀精致，偏正式派对风,脱衣舞会,
,,yifu11,黄色运动上衣搭配白色短裙，带头部配件与装置感，偏活动装,户外运动,
,,yifu12,黄色运动上衣搭配白色短裙，轻快青春，偏标准运动休闲装,户外运动，卸掉装备后,
,,yifu13,粉色斜裁礼裙，柔美中带一点小性感，适合轻晚宴/约会,鸡尾酒会、海边晚宴、约会剧情、氛围感场景,
,,yifu14,粉紫色舞台感短装，搭配羽毛装饰与头饰，整体夸张吸睛,马戏团“竞赛”服饰,
Corbin,nan1,yifu1,卡其/米色轻正式套装，整体成熟稳重，偏日常绅士风,初登场、正式见面、白天约会、轻商务场景,
,,yifu2,浅色短袖上衣搭配深色短裤，休闲清爽，偏居家或度假日常风,岛上日常、室内聊天、轻松互动、白天休闲场景,
,,yifu3,上身赤裸，下身沙滩短裤,海边互动、泳池场景、度假日常、夏日活动,
,,yifu4,赤膊搭配蓝色印花泳裤，整体更直接、更有荷尔蒙感,沙滩、泳池、海上活动、强暧昧互动场景,
,,yifu5,红黑配色舞台/主题活动装，风格张扬，有表演感,马戏团“竞赛”服饰,
Archer,nan2,yifu1,白大褂医生造型，专业克制，符合其外科医生身份,正式人物设定展示、职业身份强化、回忆/身份揭示场景,
,,yifu2,花衬衫搭配牛仔裤，文艺轻松，带画家气质,岛上散步、休闲对话、日常约会、艺术感场景,
,,yifu3,浅蓝度假风上衣搭配长裤，整体温和清爽,海边约会、午后互动、轻松剧情、度假场景,
,,yifu4,橙色短袖上衣搭配牛仔裤，活力感更强，偏阳光日常风,白天外出、探索场景、轻松聊天、普通日常剧情,
,,yifu5,赤膊搭配蓝色泳裤，体现成熟身材与亲密感,泳池、沙滩、海边互动、暧昧升温场景,
,,yifu6,浅蓝色T恤搭配浅色短裤，背双肩包及户外用品,户外运动，携带装备,
,,yifu7,浅蓝色T恤搭配浅色短裤,户外运动，卸掉装备后,
Orwell,nan3,yifu1,黄色热带印花衬衫搭配长裤，花哨张扬，符合富有魅力的岛屿风格,初登场、岛上日常、派对前场、轻松互动场景,
,,yifu2,白色正式西装，领子处带有水钻整体高贵干净,正式出场、晚宴、重要剧情、舞台演出、身份感强化场景,
,,yifu3,赤膊搭配粉色泳裤，风格大胆张扬，带强烈性感氛围,泳池、沙滩、海边秀身材、暧昧推进场景,
,,yifu4,棕色系休闲夹克搭配牛仔裤，整体更随性、更有痞帅感,岛上探索、夜晚对话、非正式约会、脱衣舞表演、剧情推进场景,
,,yifu5,蓝色正式西装，利落精致，强化成熟魅力,酒会、宴会、正式邀约、关键剧情场景,
,,yifu6,银色反光上衣，加牛仔裤,演出、娱乐类场景,
Lance,nan4,yifu1,球队运动服/球衣造型，突出其运动员身份与力量感,初登场、比赛、训练、运动主题节目场景,
,,yifu2,赤膊搭配橙色泳裤，阳光直接，偏标准海边性感造型,沙滩、泳池、海边活动、泳池活动、暧昧互动场景,
,,yifu3,条纹衬衫敞穿搭配橙色短裤，带一点随性不羁感,海边聚会、度假聊天、轻松约会、白天休闲场景,
,,yifu4,赤膊搭配亮色泳裤/泳装，风格更大胆、更突出身材,脱衣舞厅、泳池互动、海上活动、强视觉刺激场景,
,,yifu5,蓝色休闲上衣搭配浅色短裤，带运动墨镜，整体清爽运动风,白天活动、日常聊天、轻综艺互动、普通度假场景,
,,yifu6,蓝色休闲上衣搭配浅色短裤，无墨镜整体清爽运动风,白天活动、日常聊天、轻综艺互动、普通度假场景,
,,yifu7,蓝白配色上衣搭配棕色长裤，整体更有舞台/主持或正式休闲感,马戏团“竞赛”服饰,
Foley,npc1,yifu1,米白短袖衬衫搭配棕色长裤，整体干净克制，偏工作人员/管家风,初登场、接待、服务场景、白天日常剧情,
Milo,npc2,yifu1,灰白衬衫搭配围裙的酒保制服，专业整洁，突出酒吧工作人员身份,日间酒吧服务、点单、递酒、柜台互动场景,
,,yifu2,黑色上衣搭配浅色围裙，整体更利落，偏夜场工作状态,夜间酒吧、调酒互动、剧情服务镜头,
,,yifu3,热带花衬衫搭配短裤的海岛休闲装，带度假感和亲和力,海边酒吧、白天营业、轻松互动、节目录制,
Jax,npc3,yifu1,白金色亮片长裙，整体华丽性感，偏派对女郎/主持人风,晚宴、派对、酒会、正式出场场景,
,,yifu2,橙黑配色性感短装，视觉冲击强，带热辣舞台感,泳池派对、热舞、夜场互动、强氛围剧情,
Raven,npc4,yifu1,浅紫蓝色甜美礼裙，整体精致柔美，带一点名媛感和“绿茶感”,正式出场、装乖场景、姐妹对戏、轻晚宴剧情,
,,yifu2,紫粉色印花短裙，整体更活泼张扬，带轻度挑衅感,岛上日常、女性对戏、聚会、轻冲突场景,
Cam Op,npc5,yifu1,黑色工作背心搭配帽子和工装短裤，标准摄像组工作人员造型,节目录制、跟拍、现场工作、幕后场景,
Logan,npc6,yifu1,橙色T恤搭配深色短裤，整体阳光随性，偏岛上日常男NPC,泳池边、白天日常、海岛活动、路人互动、背景角色场景,
Raymus,npc7,yifu1,全黑西装/制服造型，冷硬利落，带强烈保镖或安保气质,安保、压场、威慑、正式冲突场景,
Morganna,npc8,yifu1,黑色哥特风长裙，造型夸张神秘，双手微微举起，像在施法,神秘出场、仪式感场景,
,,yifu2,黑色修身哥特长裙变体，双手自然下垂，整体更冷艳、更庄重,日常场景,
