序号,角色名称,中文名,角色ID,角色定位,恋综嘉宾,性别,设定,默认站位,AVG框体颜色,备注
1,Roxie,罗克茜,nv1,主角,1,女,女主，30+，自由职业，性格阳光外向毒舌，聪明有主见,左下,1,
2,Corbin,科尔宾,nan1,主角,1,男,38岁，科技公司CEO，自负毒舌，因原生家庭问题无法很好的表达自己情绪，实际外冷内热,无,6,
3,Archer,阿彻,nan2,主角,1,男,35岁，外科医生&抽象画家，温柔暖男,无,5,
4,Orwell,奥威尔,nan3,主角,1,男,36岁，格莱美奖音乐人&顶级黑客，神秘浪子、花花公子，客串恋综不是常驻嘉宾,无,3,
5,Lance,兰斯,nan4,主角,1,男,33岁，NFL橄榄球明星，四分卫，私厨&生活类内容创作者，机灵搞怪，诚恳真心,无,7,
6,Foley,弗利,npc1,NPC,0,男,节目录音师，海王,无,2,
7,Milo,迈洛,npc2,NPC,0,男,餐厅服务人员、酒保,无,4,
8,Jax,贾克斯,npc3,NPC,1,女,节目组的工作人员，但也客串参加了恋综录制，是Roxie的朋友,无,2,
9,Raven,雷文,npc4,NPC,1,女,三线小演员，Roxie同父异母的继妹，一直将Roxie当做假想敌，处处刁难使坏,无,2,
10,Cam Op,摄像师,npc5,NPC,0,男,节目摄像师,无,2,
11,Logan,洛根,npc6,NPC,0,男,泳池救生员，身材健壮,无,7,
12,Raymus,雷默斯,npc7,NPC,0,男,赌场卧底安保人员,无,2,
13,Morganna,莫甘娜,npc8,NPC,0,女,自认是吸血鬼的鬼屋老板,无,2,
14,Bruiser,布鲁泽,npc9,NPC,0,男,酒吧保镖,无,4,
15,Gabe,盖布,npc10,NPC,1,男,Roxie的大学男友,无,6,
16,Candy,坎迪,npc11,NPC,1,女,Roxie的闺蜜，开朗外向，在男女关系方面很开放,无,2,
17,Jake,杰克,npc12,NPC,0,男,赌场的发牌员,无,4,
18,Harley,哈莉,npc13,NPC,0,男,节目主持人,无,6,
19,Luna,卢娜,npc14,NPC,0,女,塔罗占卜师（老妇人）,无,2,
20,Sophie,苏菲,npc15,NPC,1,女,资深的野外徒步与山地骑行爱好者。受过良好教育，在参加恋爱真人秀之前从事自由职业计算机程序员的工作。她是狂热的橄榄球迷，在游艇上终于有机会见到 Lance 时，立刻就被他吸引。她成长于一个宗教家庭，一直被值得信任的人包围，因此她对他人非常信任,无,2,
21,Lana,拉娜,npc16,NPC,1,女,一位性感的亚裔美国女性，担任法律助理，渴望进入法学院学习，但家庭并没有足够的经济条件。她一直在存钱，希望将来能在夜校就读法学院。她与 Sophie 成为了非常亲密的朋友，和 Sophie 一样，她通常信任他人，也略显被动，往往会听从 Sophie 的意见,无,2,
22,Simon,西蒙,npc17,NPC,1,男,非裔美国人，半职业橄榄球运动员，在一所小型大学打过大学橄榄球。他对像 Lance 这样的人成心存不满，认为自己并不比 Lance 差，并且非常渴望有机会把 Lance 撂倒在地,无,7,
23,Clyde,克莱德,npc18,NPC,1,男,大学时期打过棒球，一直梦想进入职业联盟，但始终未能达到那个水平。他好胜心强，欣赏像 Lance 这样真正进入职业体育领域的人，尽管他并不愿意承认自己是 Lance 的粉丝,无,3,
24,Sable,莎蓓尔,npc19,NPC,1,女,美丽、优雅、当红大明星、常春藤联盟学历出身。个人正遭遇外人不知的债务危机，后期加入恋综，欲通过节目赚到更高的热度和金钱，将Roxie视为假想敌，处处设计刁难,无,4,
25,Samson,萨姆森,npc20,NPC,0,男,脱衣舞厅男主持人&常驻舞者,无,5,
26,Jasmine,贾丝敏,npc21,NPC,0,女,脱衣舞厅女主持人&常驻舞者,无,2,
27,Marco,马可,npc22,NPC,0,男,操作热气球的工作人员,无,3,
28,Raymond,雷蒙德,npc23,NPC,0,男,Sable 的私人助理，深柜Gay，表面谄媚实则阴狠精明;执行所有黑箱操作,无,5,
29,Conrad,康拉德,npc24,NPC,1,男,来自加州，著名宇航员;表面随和友好，个人原则性强；魅力型操控者;三角关系制造者;阶段性反派,无,2,
30,Caroline,卡罗琳,无,NPC,0,女,Archer的妹妹,无,2,Caroline在无立绘资源时，使用npc4的yifu1和heiying表情
31,Margie,玛吉,无,NPC,0,女,Jax的助理，类似主持人、店员的存在,无,2,Margie在无立绘资源时，使用npc4的yifu1和heiying表情
32,Guest,嘉宾,无,NPC,0,男,餐厅或各种场景出现的客人,无,2,Guest在无立绘资源时，使用nan4的yifu2和heiying表情
33,Stranger,陌生人,无,NPC,0,男,节目中出现的陌生人,无,2,Stranger在无立绘资源时，使用npc8的yifu1和heiying表情
